Date,Store,Sales,DayOfWeek,Promo,StateHoliday,SchoolHoliday,Month,Year,WeekOfYear
2018-01-01,1,1979.92,1,0,1,0,1,2018,1
2018-01-02,1,6668.38,2,1,0,0,1,2018,1
2018-01-03,1,6259.6,3,1,0,0,1,2018,1
2018-01-04,1,6754.03,4,0,0,0,1,2018,1
2018-01-05,1,7508.85,5,1,0,0,1,2018,1
2018-01-06,1,7258.84,6,0,0,0,1,2018,1
2018-01-08,1,4731.02,1,0,0,0,1,2018,2
2018-01-09,1,5478.74,2,0,0,0,1,2018,2
2018-01-10,1,5263.89,3,0,0,0,1,2018,2
2018-01-11,1,5649.4,4,0,0,0,1,2018,2
2018-01-12,1,7415.7,5,1,0,0,1,2018,2
2018-01-13,1,7577.73,6,0,0,0,1,2018,2
2018-01-15,1,4742.9,1,0,0,0,1,2018,3
2018-01-16,1,5251.55,2,0,0,0,1,2018,3
2018-01-17,1,6116.94,3,1,0,0,1,2018,3
2018-01-18,1,6071.12,4,0,0,0,1,2018,3
2018-01-19,1,5478.48,5,0,0,0,1,2018,3
2018-01-20,1,6968.66,6,0,0,0,1,2018,3
2018-01-22,1,6245.32,1,1,0,0,1,2018,4
2018-01-23,1,5003.98,2,0,0,0,1,2018,4
2018-01-24,1,6502.68,3,1,0,0,1,2018,4
2018-01-25,1,5622.23,4,0,0,0,1,2018,4
2018-01-26,1,5532.26,5,0,0,0,1,2018,4
2018-01-27,1,6620.62,6,0,0,0,1,2018,4
2018-01-29,1,5189.45,1,0,0,0,1,2018,5
2018-01-30,1,5683.19,2,0,0,0,1,2018,5
2018-01-31,1,5225.81,3,0,0,0,1,2018,5
2018-02-01,1,6677.92,4,0,0,0,2,2018,5
2018-02-02,1,7162.32,5,0,0,0,2,2018,5
2018-02-03,1,7051.79,6,0,0,0,2,2018,5
2018-02-05,1,5865.3,1,0,0,0,2,2018,6
2018-02-06,1,5355.91,2,0,0,0,2,2018,6
2018-02-07,1,4841.63,3,0,0,0,2,2018,6
2018-02-08,1,6202.05,4,0,0,0,2,2018,6
2018-02-09,1,7300.93,5,1,0,0,2,2018,6
2018-02-10,1,9067.56,6,1,0,0,2,2018,6
2018-02-12,1,7209.97,1,1,0,0,2,2018,7
2018-02-13,1,6252.47,2,0,0,0,2,2018,7
2018-02-14,1,7041.81,3,1,0,0,2,2018,7
2018-02-15,1,6726.11,4,0,0,0,2,2018,7
2018-02-16,1,7973.93,5,1,0,0,2,2018,7
2018-02-17,1,7029.99,6,0,0,0,2,2018,7
2018-02-19,1,5634.43,1,0,0,0,2,2018,8
2018-02-20,1,5550.12,2,0,0,0,2,2018,8
2018-02-21,1,5590.9,3,0,0,0,2,2018,8
2018-02-22,1,6772.06,4,0,0,0,2,2018,8
2018-02-23,1,7558.86,5,1,0,0,2,2018,8
